,est_age_12plus_pop,demographic_category,rank,county,demographic_value,total_partially_vaccinated,cumulative_at_least_one_dose,county_type,cumulative_unvax_total_pop,est_population,fully_vaccinated,cumulative_unvax_5plus_pop,cumulative_fully_vaccinated,est_age_5plus_pop,suppress_data,at_least_one_dose,cumulative_booster_recip_count,_id,booster_recip_count,partially_vaccinated,cumulative_unvax_12plus_pop,administered_date
0,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,113966,0,0.0,,2020-07-30
1,,Race/Ethnicity,0.0573088,Fresno,Other Race,1.0,1.0,MIXED,,,0.0,,0.0,,False,0.0,0,113877,0,0.0,,2020-10-27
2,,Race/Ethnicity,0.0573088,Fresno,Other Race,1.0,1.0,MIXED,,,0.0,,0.0,,False,0.0,0,113878,0,0.0,,2020-10-26
3,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,113967,0,0.0,,2020-07-29
4,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,113968,0,0.0,,2020-07-28
5,,Race/Ethnicity,0.0573088,Fresno,Other Race,1.0,1.0,MIXED,,,0.0,,0.0,,False,0.0,0,113879,0,0.0,,2020-10-25
6,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,1.0,MIXED,,,0.0,,1.0,,False,0.0,0,113839,0,0.0,,2020-12-04
7,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,1.0,MIXED,,,0.0,,1.0,,False,0.0,0,113840,0,0.0,,2020-12-03
8,,Race/Ethnicity,0.0573088,Fresno,Other Race,1.0,1.0,MIXED,,,0.0,,0.0,,False,0.0,0,113880,0,0.0,,2020-10-24
9,,Race/Ethnicity,0.0573088,Fresno,Other Race,1.0,1.0,MIXED,,,0.0,,0.0,,False,0.0,0,113881,0,0.0,,2020-10-23
10,,Race/Ethnicity,0.0573088,Fresno,Other Race,1.0,1.0,MIXED,,,0.0,,0.0,,False,0.0,0,113882,0,0.0,,2020-10-22
11,,Race/Ethnicity,0.0573088,Fresno,Other Race,1.0,1.0,MIXED,,,0.0,,0.0,,False,0.0,0,113883,0,0.0,,2020-10-21
12,,Race/Ethnicity,0.0573088,Fresno,Other Race,1.0,1.0,MIXED,,,0.0,,0.0,,False,1.0,0,113884,0,1.0,,2020-10-20
13,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,113885,0,0.0,,2020-10-19
14,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,1.0,MIXED,,,0.0,,1.0,,False,0.0,0,113841,0,0.0,,2020-12-02
15,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,1.0,MIXED,,,0.0,,1.0,,False,0.0,0,113842,0,0.0,,2020-12-01
16,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,113969,0,0.0,,2020-07-27
17,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,1.0,MIXED,,,0.0,,1.0,,False,0.0,0,113843,0,0.0,,2020-11-30
18,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,1.0,MIXED,,,0.0,,1.0,,False,0.0,0,113844,0,0.0,,2020-11-29
19,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,1.0,MIXED,,,0.0,,1.0,,False,0.0,0,113845,0,0.0,,2020-11-28
20,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,113886,0,0.0,,2020-10-18
21,0.0,Age Group,0.0573088,Fresno,5-11,0.0,0.0,MIXED,111734.0,111734.0,0.0,111734.0,0.0,111734.0,False,0.0,0,107928,0,0.0,0.0,2020-12-20
22,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,113887,0,0.0,,2020-10-17
23,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,113970,0,0.0,,2020-01-05
24,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,113888,0,0.0,,2020-10-16
25,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,113889,0,0.0,,2020-10-15
26,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,113890,0,0.0,,2020-10-14
27,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,113891,0,0.0,,2020-10-13
28,,Race/Ethnicity,0.0573088,Fresno,Unknown,452.0,452.0,MIXED,,,0.0,,0.0,,False,0.0,0,114466,0,0.0,,2021-01-01
29,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,113892,0,0.0,,2020-10-12
30,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,113893,0,0.0,,2020-10-11
31,,Race/Ethnicity,0.0573088,Fresno,Unknown,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,114496,0,0.0,,2020-12-02
32,94261.0,Age Group,0.0573088,Fresno,12-17,5.0,5.0,MIXED,94256.0,94261.0,0.0,94256.0,0.0,94261.0,False,0.0,0,106600,0,0.0,94256.0,2021-01-07
33,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,1.0,MIXED,,,0.0,,1.0,,False,0.0,0,113846,0,0.0,,2020-11-27
34,,Race/Ethnicity,0.0573088,Fresno,Unknown,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,114497,0,0.0,,2020-12-01
35,,Race/Ethnicity,0.0573088,Fresno,Unknown,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,114498,0,0.0,,2020-11-30
36,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,1.0,MIXED,,,0.0,,1.0,,False,0.0,0,113847,0,0.0,,2020-11-26
37,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,1.0,MIXED,,,0.0,,1.0,,False,0.0,0,113848,0,0.0,,2020-11-25
38,,Race/Ethnicity,0.0573088,Fresno,Unknown,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,114499,0,0.0,,2020-11-29
39,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,1.0,MIXED,,,1.0,,1.0,,False,0.0,0,113849,0,0.0,,2020-11-24
40,,Race/Ethnicity,0.0573088,Fresno,Other Race,1.0,1.0,MIXED,,,0.0,,0.0,,False,0.0,0,113850,0,0.0,,2020-11-23
41,94261.0,Age Group,0.0573088,Fresno,12-17,5.0,5.0,MIXED,94256.0,94261.0,0.0,94256.0,0.0,94261.0,False,0.0,0,106599,0,0.0,94256.0,2021-01-08
42,0.0,Age Group,0.0573088,Fresno,5-11,0.0,0.0,MIXED,111734.0,111734.0,0.0,111734.0,0.0,111734.0,False,0.0,0,107929,0,0.0,0.0,2020-12-19
43,,Race/Ethnicity,0.0573088,Fresno,Unknown,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,114500,0,0.0,,2020-11-28
44,,Race/Ethnicity,0.0573088,Fresno,Other Race,1.0,1.0,MIXED,,,0.0,,0.0,,False,0.0,0,113851,0,0.0,,2020-11-22
45,0.0,Age Group,0.0573088,Fresno,5-11,0.0,0.0,MIXED,111734.0,111734.0,0.0,111734.0,0.0,111734.0,False,0.0,0,107930,0,0.0,0.0,2020-12-18
46,,Race/Ethnicity,0.0573088,Fresno,Unknown,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,114501,0,0.0,,2020-11-27
47,,Race/Ethnicity,0.0573088,Fresno,Unknown,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,114502,0,0.0,,2020-11-26
48,94261.0,Age Group,0.0573088,Fresno,12-17,4.0,4.0,MIXED,94257.0,94261.0,0.0,94257.0,0.0,94261.0,False,0.0,0,106612,0,0.0,94257.0,2020-12-26
49,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,113894,0,0.0,,2020-10-10
50,0.0,Age Group,0.0573088,Fresno,5-11,0.0,0.0,MIXED,111734.0,111734.0,0.0,111734.0,0.0,111734.0,False,0.0,0,107931,0,0.0,0.0,2020-12-17
51,94261.0,Age Group,0.0573088,Fresno,12-17,4.0,4.0,MIXED,94257.0,94261.0,0.0,94257.0,0.0,94261.0,False,0.0,0,106613,0,0.0,94257.0,2020-12-25
52,94261.0,Age Group,0.0573088,Fresno,12-17,123.0,169.0,MIXED,94092.0,94261.0,0.0,94092.0,46.0,94261.0,False,25.0,0,106542,0,25.0,94092.0,2021-03-06
53,94261.0,Age Group,0.0573088,Fresno,12-17,98.0,144.0,MIXED,94117.0,94261.0,0.0,94117.0,46.0,94261.0,False,14.0,0,106543,0,14.0,94117.0,2021-03-05
54,94261.0,Age Group,0.0573088,Fresno,12-17,84.0,130.0,MIXED,94131.0,94261.0,2.0,94131.0,46.0,94261.0,False,15.0,0,106544,0,15.0,94131.0,2021-03-04
55,94261.0,Age Group,0.0573088,Fresno,12-17,4979.0,58566.0,MIXED,35695.0,94261.0,10.0,35695.0,53587.0,94261.0,False,18.0,11550,106120,20,18.0,35695.0,2022-05-02
56,94261.0,Age Group,0.0573088,Fresno,12-17,4971.0,58548.0,MIXED,35713.0,94261.0,4.0,35713.0,53577.0,94261.0,False,3.0,11530,106121,4,3.0,35713.0,2022-05-01
57,94261.0,Age Group,0.0573088,Fresno,12-17,4972.0,58545.0,MIXED,35716.0,94261.0,7.0,35716.0,53573.0,94261.0,False,9.0,11526,106122,17,9.0,35716.0,2022-04-30
58,,Race/Ethnicity,0.0573088,Fresno,Other Race,0.0,0.0,MIXED,,,0.0,,0.0,,False,0.0,0,113895,0,0.0,,2020-10-09
59,94261.0,Age Group,0.0573088,Fresno,12-17,4.0,4.0,MIXED,94257.0,94261.0,0.0,94257.0,0.0,94261.0,False,0.0,0,106607,0,0.0,94257.0,2020-12-31
60,94261.0,Age Group,0.0573088,Fresno,12-17,4970.0,58536.0,MIXED,35725.0,94261.0,14.0,35725.0,53566.0,94261.0,False,20.0,11509,106123,28,20.0,35725.0,2022-04-29
